"flight","beacons","day","balloonsize","liftfactor","h2fill","parachute.description","parachute.size","weights.client","weights.eoss","weights.parachute","weights.neckload","weights.balloon","weights.gross","weights.necklift"
"EOSS-322","[""AE0SS-12"",""KC0D-1""]","2022-04-09","1500gm","1.25","281","Rocketman","12","7.50","4.19","1.63","13.32","3.31","16.63","17.481"
"EOSS-321","[""KC0D-1"",""KC0D-3"",""AE0SS-12""]","2022-04-02","3000gm","1.20","441","Rocketman","12","14.77","4.67","1.15","20.59","6.61","27.21","26.03"
"EOSS-320","[""KC0D-1"",""AE0SS-13""]","2022-01-28","3000gm","1.20","353","Rocketman","12","7.75","6.23","1.15","15.13","6.61","21.74","19.48"
"EOSS-319","[""KC0D-14"",""AE0SS-12""]","2022-01-28","3000gm","1.20","416","Rocketman","12","13.12","4.77","1.15","19.04","6.61","25.65","24.77"
"EOSS-318","[""KC0D-14"",""AE0SS-12""]","2021-11-06","3000gm","1.20","455","Rocketman","12","15.41","4.35","1.70","21.45","6.61","28.06","27.06"
"EOSS-317","[""KC0D-14"",""KC0D-3"",""AE0SS-12""]","2021-10-30","3000gm","1.15","483","Rocketman","12","16.95","6.36","1.15","24.46","6.61","31.07","29.12"
"EOSS-316","[""KC0D-14"",""AE0SS-13""]","2021-10-10","3000gm","1.15","393","Rocketman","12","11.38","6.12","1.15","18.65","6.61","25.26","22.44"
"EOSS-315","[""KC0D-3"",""AE0SS-12""]","2021-10-10","1500gm","1.30","260","Rocketman","12","6.87","2.97","1.68","11.52","3.31","14.82","15.96"
"EOSS-314","[""KC0D-14"",""AE0SS-13""]","2021-08-01","1500gm","1.30","225","Rocketman","12","4.80","3.55","1.15","9.50","3.31","12.80","13.34"
"EOSS-313","[""KC0D-1"",""K0SCC-14""]","2021-08-01","1500gm","1.30","258","Rocketman","12","6.97","3.24","1.15","11.35","3.31","14.66","15.75"
"EOSS-312","[""KC0D-3"",""AE0SS-12""]","2021-08-01","1500gm","1.30","258","Rocketman","12","6.97","3.24","1.15","11.35","3.31","14.66","15.75"
"EOSS-311","[""KC0D-3"",""KC0D-2"",""AE0SS-12""]","2021-07-24","1500gm","1.30","280","Rocketman","12","5.50","5.50","1.63","12.63","3.31","15.94","17.41"
"EOSS-310","[""KC0D-3"",""AE0SS-12""]","2021-04-18","3000gm","1.21","370","Rocketman","12","10.24","4.63","1.15","16.02","6.61","22.63","20.77"
